Budget_Category,Trip_Type,Duration_Days,Group_Size,Season,Activity_Preference,Trip_Plan
Medium,Adventure,13,Family,Winter,Beach,Goa
Medium,Relaxing,8,Family,Autumn,Beach,Goa
Low,Adventure,9,Solo,Spring,Sightseeing,Hampi
Medium,Adventure,9,Family,Winter,Sightseeing,Hampi
Low,Relaxing,7,Friends,Autumn,City,Mumbai
High,Cultural,7,Family,Winter,Hiking,Goa
High,Cultural,6,Couple,Autumn,Hiking,Sikkim
Low,Cultural,7,Couple,Spring,Sightseeing,Agra
Medium,Adventure,13,Couple,Summer,Sightseeing,Andaman
Medium,Adventure,9,Friends,Autumn,City,Mysore
Medium,Relaxing,6,Family,Autumn,Nature,Leh
High,Relaxing,6,Family,Winter,Sightseeing,Varanasi
Medium,Cultural,6,Family,Summer,Hiking,Ooty
Low,Adventure,8,Couple,Summer,City,Kerala
Low,Adventure,12,Friends,Spring,Hiking,Sikkim
Medium,Relaxing,6,Couple,Spring,City,Mumbai
Medium,Relaxing,5,Couple,Spring,Beach,Andaman
High,Relaxing,3,Family,Summer,Sightseeing,Kerala
High,Cultural,3,Solo,Winter,Hiking,Goa
Medium,Relaxing,3,Family,Winter,City,Mumbai
Medium,Relaxing,5,Friends,Winter,Nature,Mysore
Low,Cultural,7,Friends,Autumn,Hiking,Leh
Medium,Relaxing,9,Couple,Spring,Hiking,Sikkim
Low,Adventure,7,Couple,Summer,Hiking,Ooty
High,Cultural,6,Family,Autumn,Hiking,Leh
Medium,Cultural,6,Couple,Summer,Hiking,Rishikesh
High,Adventure,7,Family,Autumn,City,Hampi
Medium,Adventure,14,Friends,Winter,City,Delhi
Medium,Adventure,9,Friends,Autumn,City,Mumbai
Medium,Adventure,12,Couple,Spring,Beach,Kerala
Low,Adventure,11,Friends,Winter,Hiking,Ooty
Medium,Relaxing,9,Family,Autumn,Sightseeing,Agra
Low,Adventure,12,Family,Autumn,City,Kerala
Low,Adventure,14,Couple,Winter,Nature,Kolkata
High,Adventure,10,Friends,Winter,Nature,Kolkata
High,Relaxing,9,Solo,Spring,City,Delhi
Medium,Cultural,8,Friends,Autumn,City,Kolkata
High,Relaxing,9,Solo,Spring,Hiking,Manali
Medium,Adventure,4,Solo,Spring,Beach,Goa
Medium,Cultural,4,Couple,Autumn,Sightseeing,Mysore
Medium,Adventure,6,Family,Spring,Sightseeing,Mumbai
Low,Relaxing,9,Couple,Autumn,Hiking,Manali
Medium,Cultural,5,Family,Autumn,Nature,Sikkim
Low,Adventure,6,Couple,Summer,Hiking,Manali
Medium,Cultural,4,Couple,Summer,Sightseeing,Mysore
Medium,Adventure,10,Couple,Spring,Beach,Kerala
High,Relaxing,8,Couple,Summer,Beach,Goa
Medium,Cultural,7,Friends,Winter,Hiking,Shimla
Low,Relaxing,8,Friends,Autumn,Hiking,Darjeeling
Low,Adventure,9,Friends,Winter,Sightseeing,Agra
High,Relaxing,9,Couple,Spring,Hiking,Shimla
Medium,Cultural,8,Family,Summer,Hiking,Leh
Low,Adventure,12,Family,Spring,Sightseeing,Hampi
Medium,Cultural,7,Solo,Winter,Nature,Kerala
Low,Cultural,6,Couple,Spring,Sightseeing,Agra
Medium,Cultural,2,Friends,Autumn,Sightseeing,Hampi
Medium,Relaxing,9,Family,Spring,Sightseeing,Jaipur
Low,Relaxing,7,Couple,Autumn,Beach,Andaman
High,Relaxing,6,Friends,Autumn,City,Mumbai
Low,Cultural,5,Friends,Summer,City,Mumbai
High,Relaxing,4,Family,Autumn,City,Andaman
Medium,Cultural,2,Family,Spring,Nature,Darjeeling
Low,Adventure,7,Family,Spring,City,Kolkata
Medium,Relaxing,8,Friends,Autumn,Nature,Kolkata
Medium,Cultural,5,Family,Spring,Beach,Goa
High,Cultural,4,Friends,Winter,Hiking,Darjeeling
Medium,Adventure,14,Couple,Autumn,Hiking,Sikkim
Low,Relaxing,5,Family,Spring,Hiking,Darjeeling
High,Relaxing,7,Friends,Summer,Hiking,Manali
Medium,Adventure,12,Solo,Spring,Sightseeing,Hampi
Low,Cultural,2,Friends,Summer,City,Delhi
Medium,Relaxing,7,Couple,Summer,Sightseeing,Agra
Low,Relaxing,6,Solo,Summer,Beach,Andaman
Low,Relaxing,9,Family,Spring,Sightseeing,Hampi
Medium,Cultural,8,Friends,Winter,Hiking,Sikkim
High,Relaxing,5,Couple,Summer,Beach,Varanasi
Medium,Adventure,8,Couple,Summer,City,Kolkata
Low,Cultural,6,Couple,Autumn,Hiking,Leh
Medium,Cultural,2,Family,Winter,Sightseeing,Delhi
Low,Cultural,7,Family,Spring,City,Kolkata
High,Relaxing,9,Friends,Autumn,City,Bengaluru
High,Adventure,14,Solo,Winter,City,Delhi
Medium,Cultural,4,Friends,Winter,Beach,Udaipur
Low,Relaxing,9,Couple,Summer,Beach,Kerala
Low,Adventure,8,Solo,Summer,Sightseeing,Agra
Low,Cultural,8,Family,Summer,Beach,Andaman
Medium,Relaxing,7,Friends,Summer,Hiking,Leh
Medium,Cultural,7,Couple,Winter,Beach,Goa
Medium,Relaxing,9,Friends,Spring,Sightseeing,Jaipur
Low,Adventure,10,Couple,Summer,Sightseeing,Mysore
Medium,Relaxing,5,Solo,Autumn,Hiking,Shimla
High,Relaxing,9,Family,Autumn,Sightseeing,Udaipur
Medium,Relaxing,4,Family,Winter,Sightseeing,Udaipur
Low,Relaxing,9,Couple,Autumn,Beach,Kerala
Medium,Relaxing,10,Couple,Autumn,Hiking,Shimla
Low,Adventure,11,Family,Winter,Hiking,Ooty
Medium,Adventure,11,Friends,Summer,Nature,Kerala
Low,Cultural,6,Solo,Summer,Sightseeing,Delhi
Medium,Cultural,4,Solo,Autumn,Sightseeing,Delhi
Medium,Adventure,10,Friends,Autumn,Nature,Kolkata
High,Relaxing,4,Friends,Summer,City,Mumbai
Medium,Cultural,6,Family,Winter,Hiking,Shimla
High,Cultural,6,Family,Autumn,City,Bengaluru
High,Adventure,10,Solo,Spring,Hiking,Leh
Low,Cultural,8,Family,Winter,Beach,Andaman
Low,Adventure,5,Friends,Summer,Sightseeing,Delhi
Low,Adventure,11,Family,Summer,Beach,Goa
Low,Cultural,7,Friends,Autumn,City,Mumbai
High,Adventure,9,Couple,Summer,City,Bengaluru
Medium,Cultural,7,Solo,Spring,Beach,Andaman
Low,Cultural,5,Friends,Spring,Beach,Kerala
Low,Cultural,4,Family,Spring,Nature,Darjeeling
Low,Adventure,7,Family,Autumn,City,Mumbai
Medium,Relaxing,10,Couple,Autumn,City,Bengaluru
Medium,Cultural,3,Couple,Summer,City,Mumbai
Low,Adventure,6,Friends,Winter,Beach,Kerala
Low,Adventure,7,Couple,Summer,Beach,Goa
Medium,Adventure,5,Couple,Spring,Nature,Kerala
High,Adventure,7,Family,Winter,Sightseeing,Agra
Low,Cultural,7,Solo,Winter,Sightseeing,Coorg
Medium,Adventure,7,Family,Autumn,Sightseeing,Agra
Low,Adventure,9,Solo,Winter,Hiking,Sikkim
Low,Adventure,5,Friends,Winter,Sightseeing,Agra
High,Relaxing,9,Friends,Autumn,Beach,Leh
Medium,Relaxing,5,Couple,Winter,Hiking,Ooty
Medium,Cultural,5,Solo,Summer,Sightseeing,Delhi
High,Relaxing,3,Solo,Summer,Hiking,Leh
Low,Relaxing,8,Solo,Spring,Beach,Kerala
Medium,Adventure,5,Family,Autumn,Hiking,Manali
Medium,Adventure,13,Family,Autumn,Hiking,Ooty
Medium,Adventure,8,Couple,Summer,Sightseeing,Hampi
Medium,Relaxing,3,Solo,Spring,City,Kolkata
Low,Cultural,7,Solo,Autumn,Hiking,Ooty
High,Relaxing,4,Family,Summer,Hiking,Manali
High,Relaxing,4,Solo,Winter,Nature,Rishikesh
Medium,Relaxing,7,Family,Spring,Hiking,Shimla
Medium,Adventure,12,Couple,Autumn,Sightseeing,Jaipur
Low,Cultural,7,Family,Autumn,Beach,Varanasi
High,Cultural,6,Family,Spring,Beach,Udaipur
Medium,Cultural,3,Solo,Spring,Beach,Mumbai
Medium,Cultural,6,Solo,Autumn,Sightseeing,Delhi
Low,Adventure,8,Couple,Spring,Hiking,Jaipur
Low,Cultural,3,Family,Spring,City,Mumbai
Medium,Relaxing,8,Friends,Spring,Beach,Coorg
High,Adventure,14,Solo,Spring,Sightseeing,Mysore
Low,Cultural,4,Solo,Autumn,Beach,Goa
High,Relaxing,10,Solo,Winter,City,Andaman
Low,Relaxing,9,Couple,Spring,City,Mumbai
High,Relaxing,6,Solo,Winter,Sightseeing,Mysore
High,Cultural,5,Solo,Spring,Beach,Kerala
Medium,Adventure,7,Friends,Spring,City,Leh
Low,Cultural,5,Couple,Autumn,Hiking,Sikkim
Medium,Relaxing,6,Friends,Spring,Sightseeing,Delhi
Medium,Relaxing,10,Family,Summer,Sightseeing,Hampi
Low,Adventure,4,Family,Autumn,Sightseeing,Leh
Medium,Cultural,2,Couple,Winter,Beach,Goa
High,Cultural,3,Solo,Winter,Hiking,Ooty
Low,Cultural,7,Family,Winter,City,Mumbai
Medium,Adventure,7,Couple,Autumn,City,Kolkata
Low,Relaxing,6,Solo,Spring,Sightseeing,Varanasi
Low,Cultural,3,Couple,Summer,Beach,Varanasi
Medium,Relaxing,8,Couple,Winter,Beach,Agra
Medium,Cultural,3,Family,Summer,City,Udaipur
Medium,Cultural,6,Couple,Autumn,City,Bengaluru
Low,Adventure,8,Family,Autumn,Hiking,Leh
Medium,Cultural,4,Solo,Spring,Beach,Sikkim
High,Adventure,5,Couple,Summer,Hiking,Darjeeling
Medium,Relaxing,7,Family,Summer,City,Mumbai
Medium,Cultural,7,Solo,Summer,Hiking,Shimla
Medium,Adventure,11,Friends,Spring,City,Delhi
High,Relaxing,7,Family,Spring,Beach,Kerala
Low,Relaxing,10,Solo,Summer,City,Kolkata
High,Relaxing,8,Couple,Spring,Nature,Coorg
Medium,Cultural,2,Family,Summer,Sightseeing,Hampi
Low,Adventure,8,Solo,Summer,Sightseeing,Mysore
Low,Relaxing,4,Couple,Autumn,Sightseeing,Agra
Medium,Adventure,12,Family,Spring,Hiking,Darjeeling
Medium,Adventure,8,Family,Summer,City,Bengaluru
Medium,Relaxing,8,Solo,Spring,Sightseeing,Varanasi
Medium,Adventure,10,Friends,Winter,Nature,Hampi
Low,Relaxing,3,Friends,Winter,Sightseeing,Hampi
Medium,Cultural,5,Solo,Winter,City,Delhi
Low,Cultural,7,Friends,Spring,Nature,Kolkata
Low,Adventure,12,Solo,Spring,Beach,Andaman
High,Adventure,13,Solo,Winter,City,Leh
Medium,Adventure,13,Solo,Winter,Beach,Andaman
High,Cultural,5,Family,Summer,City,Kerala
Medium,Adventure,9,Friends,Spring,Sightseeing,Agra
High,Cultural,8,Solo,Summer,City,Bengaluru
High,Cultural,7,Couple,Spring,City,Bengaluru
Low,Adventure,10,Couple,Winter,Sightseeing,Delhi
Low,Adventure,12,Couple,Spring,Sightseeing,Delhi
Low,Cultural,3,Couple,Winter,City,Delhi
Medium,Relaxing,10,Couple,Summer,Beach,Kerala
Low,Cultural,3,Friends,Autumn,Nature,Hampi
Low,Relaxing,4,Family,Autumn,Sightseeing,Varanasi
Medium,Cultural,7,Couple,Winter,Beach,Goa
Low,Adventure,6,Solo,Summer,Hiking,Sikkim
Medium,Relaxing,7,Family,Autumn,City,Kolkata
Low,Adventure,13,Family,Autumn,City,Mumbai
High,Cultural,6,Family,Autumn,Beach,Andaman
Low,Relaxing,7,Family,Winter,Sightseeing,Mysore
Medium,Relaxing,9,Solo,Winter,Hiking,Leh
Medium,Relaxing,9,Family,Summer,Beach,Kerala
Medium,Cultural,7,Couple,Summer,Beach,Kerala
High,Adventure,6,Family,Autumn,Sightseeing,Hampi
Low,Relaxing,8,Couple,Winter,Beach,Goa
Low,Cultural,6,Family,Summer,Hiking,Manali
Medium,Cultural,3,Solo,Summer,Sightseeing,Delhi
Medium,Adventure,7,Couple,Spring,City,Kolkata
Low,Cultural,7,Solo,Summer,Beach,Varanasi
Low,Relaxing,5,Couple,Autumn,Sightseeing,Delhi
Medium,Relaxing,10,Friends,Summer,City,Mumbai
High,Cultural,6,Family,Winter,Sightseeing,Leh
Low,Cultural,6,Solo,Summer,Hiking,Manali
Low,Relaxing,5,Family,Summer,City,Kolkata
High,Relaxing,6,Friends,Spring,Hiking,Shimla
Low,Adventure,14,Solo,Summer,Beach,Kerala
Low,Adventure,4,Solo,Autumn,Sightseeing,Agra
Medium,Adventure,7,Friends,Autumn,Sightseeing,Mysore
Low,Adventure,6,Family,Autumn,Beach,Goa
Low,Adventure,13,Solo,Summer,Sightseeing,Udaipur
Medium,Cultural,2,Friends,Summer,City,Delhi
Low,Adventure,5,Solo,Autumn,City,Kolkata
Medium,Relaxing,6,Solo,Winter,Beach,Andaman
High,Relaxing,8,Solo,Winter,Hiking,Leh
Medium,Relaxing,10,Family,Summer,Beach,Leh
High,Relaxing,9,Couple,Spring,City,Leh
Medium,Adventure,4,Couple,Spring,City,Ooty
Medium,Cultural,5,Friends,Spring,Beach,Kerala
High,Cultural,5,Couple,Summer,Beach,Andaman
Low,Cultural,7,Couple,Winter,Beach,Mumbai
Low,Cultural,7,Couple,Summer,Sightseeing,Varanasi
High,Cultural,3,Solo,Spring,Beach,Andaman
Medium,Relaxing,7,Couple,Summer,City,Delhi
High,Adventure,13,Solo,Summer,Sightseeing,Delhi
Medium,Cultural,5,Solo,Spring,Hiking,Sikkim
Medium,Relaxing,6,Family,Winter,Beach,Andaman
Low,Adventure,9,Couple,Winter,Nature,Andaman
Medium,Cultural,8,Friends,Spring,Sightseeing,Agra
High,Cultural,4,Family,Autumn,Hiking,Manali
Medium,Cultural,6,Friends,Spring,Sightseeing,Agra
Medium,Adventure,5,Couple,Autumn,Nature,Kerala
Medium,Cultural,6,Friends,Summer,Nature,Shimla
Medium,Relaxing,10,Friends,Winter,Nature,Ooty
High,Relaxing,8,Solo,Summer,City,Kolkata
Low,Cultural,4,Friends,Winter,Sightseeing,Jaipur
High,Adventure,12,Family,Winter,Beach,Delhi
Low,Adventure,6,Family,Winter,Hiking,Kolkata
Medium,Relaxing,8,Family,Autumn,Nature,Andaman
Medium,Cultural,5,Family,Winter,Sightseeing,Hampi
Low,Adventure,6,Solo,Spring,Beach,Leh
Medium,Relaxing,3,Couple,Winter,Beach,Andaman
Medium,Cultural,6,Couple,Autumn,Beach,Kerala
Low,Cultural,5,Solo,Winter,City,Bengaluru
Medium,Relaxing,10,Couple,Autumn,Nature,Kolkata
Medium,Adventure,7,Couple,Winter,City,Delhi
High,Relaxing,9,Solo,Summer,Nature,Darjeeling
Low,Relaxing,8,Couple,Spring,Sightseeing,Delhi
Medium,Adventure,12,Friends,Winter,Nature,Kolkata
Low,Relaxing,5,Solo,Winter,Hiking,Sikkim
High,Relaxing,7,Family,Summer,Sightseeing,Delhi
Medium,Adventure,9,Solo,Spring,Sightseeing,Mysore
High,Adventure,5,Family,Summer,Sightseeing,Hampi
Medium,Adventure,8,Friends,Summer,Beach,Coorg
Low,Relaxing,6,Solo,Autumn,Hiking,Shimla
Low,Adventure,5,Friends,Autumn,City,Delhi
Low,Cultural,8,Solo,Spring,Beach,Goa
Low,Relaxing,9,Friends,Summer,Sightseeing,Agra
Low,Relaxing,3,Solo,Winter,Hiking,Manali
Medium,Relaxing,10,Solo,Summer,Sightseeing,Delhi
Medium,Adventure,12,Couple,Autumn,City,Delhi
High,Cultural,2,Family,Winter,Hiking,Sikkim
Medium,Adventure,9,Solo,Summer,Beach,Kerala
